FID,SITE_ID,SURVTYP,YR_INSTAL,UTM_E,UTM_N,ELEV,LAT,LONG_,LAT_2,LONG_2,COMMENTS,GlobalID,OBJECTID
0,C1-18V,Veg,2007,430112,5138572,214,46.39711667,-123.9091167,N46ø23.827',W123ø54.547', ,{C87383B3-7225-4CD7-A8F2-EFF026CBFF75},9
1,C1-20VB,Veg_Bird,2006,430079,5138882,120,46.3999,-123.9095833,N46ø23.994',W123ø54.575', ,{4CA327C0-71AB-42B4-BA11-6A8316F0C2FF},12
2,C1-26V,Veg,2007,430799,5138885,121,46.4,-123.9002167,N46ø24.000',W123ø54.013',NEAR TALL REMNANT HEMLOCKS,{AF99A95E-2483-45AB-920C-FF84C4A4F751},18
3,N2-10VB,Veg_Bird,2006,431044,5140642,53,46.41583333,-123.8973,N46ø24.950',W123ø53.838', ,{03BF618D-992B-47C9-AB68-29B091E4F304},113
4,N2-14V,Veg,2007,430839,5140457,94,46.41415,-123.8999333,N46ø24.849',W123ø53.996', ,{C7D86B85-9D93-479D-ACFB-8DD523BA2209},117
5,N2-17VB,Veg_Bird,2006,431071,5140478,48,46.41436667,-123.8969167,N46ø24.862',W123ø53.815', ,{AE29C71F-00FF-4AA7-B8BE-37FC50A974DE},120
6,N2-20V,Veg,2006,430879,5140740,95,46.4167,-123.89945,N46ø25.002',W123ø53.967', ,{8F245DA1-7239-4D90-A1F6-D5555FB3A157},124
7,N2-21V,Veg,2006,430948,5140672,69,46.4161,-123.89855,N46ø24.966',W123ø53.913', ,{7C32432F-CAE2-4964-A00F-6E4A2A947B70},125
8,N2-22VB,Veg_Bird,2006,431003,5140785,66,46.41711667,-123.89785,N46ø25.027',W123ø53.871', ,{9944F2D2-174A-49D3-8006-47D5B0284167},126
9,N2-24VB,Veg_Bird,2006,430755,5140404,113,46.41366667,-123.9010167,N46ø24.820',W123ø54.061', ,{B506C73F-7EE0-4085-A798-63903E73DC65},128
10,N2-27V,Veg,2007,431325,5140618,75,46.41564928,-123.893635, , ,Entered from field data (LRD 11.08,{E7D7499B-AD56-4019-9306-F891956DA76A},131
11,N2-2VB,Veg_Bird,2006,430907,5140378,79,46.41345,-123.8990333,N46ø24.807',W123ø53.942', ,{E3470683-F835-422B-9041-19FEE8032640},133
12,N2-3V,Veg,2006,430992,5140926,97,46.41838333,-123.8980167,N46ø25.103',W123ø53.881', ,{C3A37420-70F8-411E-B8FE-0878FA4F1BA0},134
13,N2-5V,Veg,2007,431162,5140807,82,46.41733333,-123.8957833,N46ø25.040',W123ø53.747',WELL DEVELOPED ELK TRAIL,{0B226E0C-8285-41C1-B4A3-0114AA2E5AB3},136
14,N2-6V,Veg,2007,430996,5140398,56,46.41363333,-123.8978833,N46ø24.818',W123ø53.873', ,{367371A5-6A39-4A43-8512-27AC499EFC4E},137
